6436	289	529
10234	817	13060
8701	34	1830
3094	817	5661
11911	351	1830
8701	352	2422
8675	448	9071
1808	289	1970
234	955	10898
1783	289	678
4516	824	7072
537	817	9036
9280	351	1830
4032	448	2684
11670	955	397
4889	511	2121
10054	176	2856
2672	817	1822
7441	298	12130
7296	415	1154
8694	448	3868
1719	62	4507
3907	217	3262
7962	448	3868
12395	838	10189
10253	817	4296
11857	817	6464
12426	34	1830
9163	357	1830
4486	34	964
7748	125	9454
7350	351	3111
2521	284	8787
882	865	2183
8346	125	272
8620	817	1822
12968	640	3907
12709	351	2913
3746	351	11032
575	351	1099
4493	912	12131
13105	125	241
8539	448	6562
5763	351	2416
12789	817	5393
4422	342	5314
10721	817	5718
45	402	5558
1412	351	2680
4977	448	10940
5178	176	12696
6134	150	7605
5702	289	2547
50	642	6395
2656	419	1112
8455	357	3435
517	351	2418
2616	357	1258
2591	357	4923
190	339	4254
2963	351	8426
1776	289	5572
9374	34	2953
2487	298	3704
2131	817	5718
10765	824	307
4461	351	1830
10046	351	4748
2988	204	1067
9269	351	3410
3114	298	6849
10824	448	4497
4922	640	2234
1674	357	1830
622	842	4174
3899	631	3440
231	938	9060
9558	781	6961
2433	338	1720
4503	817	2730
7899	289	3088
3904	357	1830
12789	298	12205
10685	351	2537
4171	419	3434
10408	357	1830
6784	640	2212
6795	351	3410
4922	419	763
12069	351	923
12717	243	1424
6172	34	1830
8117	298	27
1271	419	1272
9353	448	5827
575	298	11485
3676	686	4732
12489	176	6886
12091	351	5264
6411	376	10815
5665	289	9554
5875	264	10934
1308	448	3674
9498	351	8122
11912	817	5718
6949	448	3597
158	448	3674
4736	838	2206
7283	448	4497
11995	817	7375
4975	115	3590
2158	298	3344
7706	264	419
9266	351	2065
4924	779	964
7725	204	5089
2820	298	13062
9180	342	8729
7769	243	13121
4551	298	5547
5668	357	1830
213	448	266
4435	298	2055
8357	357	1830
7681	289	10370
10206	357	1830
12431	243	5472
6504	298	5812
2785	342	9144
8371	817	1822
9436	34	1830
11946	357	2953
4889	410	2288
3390	809	10764
13082	817	4105
2018	298	3242
8826	351	1830
3920	448	311
10156	357	1830
11507	342	8548
6555	351	4063
2687	34	1830
1318	817	12131
3820	448	12332
2875	448	10044
2400	34	920
982	782	3692
4141	824	3904
11736	176	10911
3496	351	3752
6872	419	763
11011	298	12212
10459	34	1831
4996	817	9036
13035	339	4497
11638	289	2836
6005	817	7375
12690	176	9110
4892	289	10918
680	351	4345
1254	779	1830
4097	415	1154
4579	817	4296
4355	351	3430
5015	284	4249
11540	342	10373
10495	817	1822
9995	817	4105
10913	351	1830
807	289	4976
11054	448	2271
4761	34	1830
7007	243	2518
2130	912	5718
2873	284	280
12396	448	2271
8482	870	9922
8542	870	9625
8906	817	1822
9027	376	430
4652	289	4182
1798	431	1919
12122	376	4368
158	448	2904
9984	34	1830
1830	419	6681
5236	419	763
293	817	2730
12994	376	2749
6274	264	40
3795	817	2711
11566	351	3598
11551	289	2279
10326	34	1830
490	150	7605
7738	289	7918
5597	870	9262
1912	77	1916
5048	442	423
3177	747	3552
4211	243	5692
69	339	74
7319	298	3235
7780	351	2422
8452	351	1830
6714	817	1822
8348	298	2575
7176	357	1830
3921	351	3990
11553	357	1885
5591	448	309
825	448	5827
8497	817	1822
3242	626	4577
1700	817	9036
2879	824	7965
4710	779	1118
9098	376	7129
9318	419	763
3562	208	3689
3259	289	2818
2617	34	1830
4471	351	8248
999	339	2774
8225	351	2153
1031	824	171
421	289	10628
7005	640	2158
6890	357	1830
4011	34	1830
