294	289	10918
4627	351	8044
4562	415	696
12050	34	1830
4481	298	9673
10006	298	4314
68	342	10983
572	289	3495
11217	176	10126
2138	779	4132
2957	289	3919
3336	176	10154
510	817	3647
11048	376	6873
8625	176	2162
11462	289	4621
1645	660	4972
9409	289	4477
5461	419	763
8326	298	3335
8902	56	2137
4170	809	3662
246	284	207
11219	208	4077
8852	351	8751
9491	298	7187
10635	243	9910
3465	284	5075
12342	351	5181
6822	357	1830
6574	208	1830
8164	289	9878
2329	824	350
13108	448	2684
2555	376	76
3423	92	6925
10625	402	70
4932	419	4933
3699	289	8445
11776	351	2958
5209	357	1830
8883	298	3335
10485	626	3426
6805	357	1830
10620	351	762
4940	357	1951
11331	176	418
5577	376	3043
6727	838	5489
1230	419	763
9215	297	284
11307	934	8678
5495	351	10538
4582	201	12448
1446	125	272
8621	448	660
3224	357	1830
12720	938	11388
5124	298	3273
9557	817	3593
12634	289	9741
7044	448	2552
4590	298	10623
6442	289	178
853	415	693
1815	150	11183
12471	289	582
155	289	8314
7480	243	7921
1258	809	3662
5064	448	5749
7821	77	3432
7183	77	993
11498	298	10712
11580	298	9892
5986	62	7966
13021	448	11250
2023	817	5661
1775	419	3670
11103	912	5867
3916	824	6038
4617	448	2926
9795	926	4281
9088	208	1916
3232	150	9316
11428	352	5306
3802	351	684
4175	352	2912
3221	243	4568
2458	824	73
11274	34	1830
11509	357	1830
7795	298	95
4643	824	12911
3270	419	763
3176	352	12357
8926	351	2959
9531	351	2416
10805	34	1830
357	448	8645
7391	817	3593
12099	352	2052
10414	484	1830
5189	289	6730
3237	357	3669
13076	351	1486
5640	289	1337
6848	77	923
8253	351	1445
1898	34	1951
1748	865	2410
10242	289	3914
9945	351	2913
8933	357	1830
8397	342	5848
11633	419	763
8606	615	10787
350	640	4577
12784	467	1032
5510	642	1391
6540	357	1830
10359	824	1752
5821	289	2252
11157	817	4105
12958	912	1116
8535	376	372
10538	357	1830
2523	708	9264
11873	484	1830
3104	352	4162
11786	243	2162
12515	289	4035
3338	289	12380
2861	910	5735
4629	879	955
62	419	1261
2744	479	2477
5598	77	1986
12800	448	12786
11915	642	1083
294	289	6772
10439	208	3395
11172	817	1822
12447	357	1830
7411	342	9683
12085	817	9036
2208	752	809
6131	351	2199
11053	62	5414
11095	692	2049
2598	34	963
12488	448	6562
5613	351	1830
5685	351	1498
3927	448	3674
338	769	9038
1761	298	9379
3928	511	2121
4800	352	5059
4353	298	8231
7669	769	3010
10540	77	2052
7549	419	763
2769	351	2500
13004	357	1830
11036	351	3389
12970	800	9069
1446	176	6840
1660	351	4083
2285	351	4915
2932	289	4486
12807	289	4454
5435	298	9260
3727	387	2260
1731	289	3108
12268	448	4376
3721	154	2995
3283	264	455
2427	351	2765
8906	323	1430
6977	77	4941
10465	176	6630
467	289	651
9360	125	339
7695	34	1830
9852	289	3917
8101	289	6522
800	351	1258
12447	243	8214
11930	376	228
10775	824	6147
8590	62	12580
11271	817	3593
2788	817	3593
8195	949	9032
4250	298	2932
4535	298	3228
10794	342	5848
4103	448	9555
11459	640	542
6686	298	4305
11101	176	6958
5662	298	228
4209	870	10127
345	289	4448
3335	289	3161
12559	448	6562
9673	357	1830
598	351	2960
10439	62	4700
37	289	4133
4403	92	1456
11036	34	1830
5313	817	7387
8281	357	1885
7567	125	272
6892	415	1163
8282	448	6562
9086	402	254
6707	176	9746
1803	640	1083
7289	351	1830
134	626	4257
9725	176	8864
221	726	1714
536	351	2956
4670	243	4250
4900	351	2960
2641	415	1149
12114	289	2074
9083	357	2065
11409	415	5255
7406	351	822
11962	351	2913
201	342	10354
7048	289	4181
235	955	240
6695	642	7266
6029	448	5138
8797	125	453
115	448	3584
12703	289	4682
7355	289	4593
1991	419	763
12354	376	399
13076	298	4671
5885	870	7812
6917	125	272
5226	289	2908
4274	289	4464
7995	289	8150
10004	34	1830
5247	243	4251
5735	493	788
1738	351	1258
569	351	3773
6413	376	170
12565	448	4379
5454	640	8552
2189	357	1830
8167	817	1822
7460	243	3114
584	660	3746
7217	289	13113
11202	357	1830
3512	809	3662
8418	357	1830
9162	769	12784
9469	769	1095
11471	448	2271
2226	817	1822
1912	528	7966
6315	289	8804
11509	62	4044
2303	351	1830
619	352	11278
13067	870	9090
11396	62	10362
2474	298	3649
6858	493	3627
4533	596	3533
9223	351	7673
4525	817	1822
5473	926	4345
3650	243	3910
9911	264	451
6908	357	1830
12208	402	7763
6503	376	1430
12659	208	2710
6446	351	4629
1927	642	12844
12712	838	10407
3341	289	853
11758	351	2052
6009	264	12859
